Chrom	Edge
chr21	>105400253>105400254
chr21	>105404482>105404484
chr21	>105400594>105400603
chr21	>105403386>105403387
chr21	>105407237>105407238
chr21	>105402392>105402393
chr21	>105400288>105400290
chr21	>105406728>105406730
chr21	>105403209>105403210
chr21	>105407277>105407278
chr21	>105404603>105404604
chr21	>105405331>105405333
chr21	>105398588>105398590
chr21	>105405507>105405509
chr21	>105405805>105405807
chr21	>105404255>105404257
chr21	>105401053>105401054
chr21	>105407282>105407283
chr21	>105407282>105407291
chr21	>105399172>105399173
chr21	>105402308>105402310
chr21	>105403267>105403269
chr21	>105401661>105401663
chr21	>105400944>105400946
chr21	>105403526>105403527
chr21	>105401685>105401687
chr21	>105402305>105402306
chr21	>105403727>105403728
chr21	>105400925>105400927
chr21	>105401177>105401178
chr21	>105398425>105398426
chr21	>105405554>105405556
chr21	>105403558>105403560
chr21	>105399879>105399882
chr21	>105401533>105401535
chr21	>105406248>105406249
chr21	>105402965>105402967
chr21	>105402759>105402760
chr21	>105399230>105399231
chr21	>105400511>105400512
chr21	>105406278>105406279
chr21	>105402015>105402016
chr21	>105402781>105402783
chr21	>105406299>105406300
chr21	>105399502>105399504
chr21	>105403817>105403819
chr21	>105407060>105407062
chr21	>105398879>105398881
chr21	>105402888>105402890
chr21	>105404914>105404915
chr21	>105401543>105401544
chr21	>105404923>105404924
chr21	>105403710>105403712
chr21	>105399097>105399099
chr21	>105403966>105403967
chr21	>105406688>105406690
chr21	>105403695>105403696
chr21	>105399687>105399689
chr21	>105407348>105407350
chr21	>105399080>105399081
chr21	>105404041>105404043
chr21	>105405728>105405729
chr21	>105405728>105405730
chr21	>105400811>105400812
chr21	>105402389>105402390
chr21	>105404988>105404989
chr21	>105406293>105406295
chr21	>105402847>105402849
chr21	>105399674>105399679
chr21	>105399674>105399680
chr21	>105405598>105405599
chr21	>105406171>105406172
chr21	>105400890>105400892
chr21	>105404588>105404589
chr21	>105404359>105404361
chr21	>105400961>105400962
chr21	>105407257>105407258
chr21	>105402215>105402216
chr21	>105405979>105405980
chr21	>105407151>105407152
chr21	>105405080>105405082
chr21	>105399764>105399765
chr21	>105400892>105400893
chr21	>105399813>105399815
chr21	>105405632>105405634
chr21	>105400832>105400833
chr21	>105401080>105401082
chr21	>105399711>105399712
chr21	>105399711>105399717
chr21	>105399882>105399883
chr21	>105398596>105398597
chr21	>105406183>105406184
chr21	>105402959>105402961
chr21	>105406476>105406478
chr21	>105398898>105398900
chr21	>105399431>105399433
chr21	>105399547>105399548
chr21	>105402536>105402537
chr21	>105402651>105402652
chr21	>105404267>105404269
chr21	>105406926>105406929
chr21	>105403669>105403670
chr21	>105401089>105401091
chr21	>105401781>105401782
chr21	>105403560>105403561
chr21	>105399571>105399572
chr21	>105401443>105401444
chr21	>105400184>105400185
chr21	>105402610>105402611
chr21	>105399993>105399995
chr21	>105404013>105404014
chr21	>105404537>105404539
chr21	>105399729>105399730
chr21	>105399708>105399709
chr21	>105405581>105405582
chr21	>105402837>105402840
chr21	>105399042>105399044
chr21	>105407421>105407423
chr21	>105406144>105406145
chr21	>105403554>105403555
chr21	>105404348>105404350
chr21	>105406898>105406899
chr21	>105403917>105403919
chr21	>105406335>105406337
chr21	>105406959>105406960
chr21	>105404447>105404449
chr21	>105404973>105404975
chr21	>105401747>105401748
chr21	>105405761>105405763
chr21	>105401559>105401561
chr21	>105403129>105403131
chr21	>105402231>105402233
chr21	>105402313>105402314
chr21	>105404184>105404185
